ticket,time_setup,time_setup_msc,time_done,time_done_msc,time_expiration,type,type_time,type_filling,state,magic,position_id,position_by_id,reason,volume_initial,volume_current,price_open,sl,tp,price_current,price_stoplimit,symbol,comment,external_id
74215202,1753330041,1753330041489,1753330041,1753330041622,0,0,0,1,4,1000,74212872,0,5,0.03,0.0,3387.18,0.0,0.0,3387.18,0.0,XAUUSD,[tp 3387.18],rUC6zoCUkvFpMtjvFiRvvD
74218949,1753330363,1753330363999,1753330364,1753330364134,0,1,0,1,4,1000,74218949,0,3,0.03,0.0,0.0,3394.35,3387.35,3390.35,0.0,XAUUSD,Robo XAUUSD,rUa8zodWlvFpiVtwD
74219586,1753330506,1753330506625,1753330506,1753330506772,0,0,0,1,4,0,74218949,0,0,0.03,0.0,0.0,0.0,0.0,3390.47,0.0,XAUUSD,,rj48zoGhlvFpdWlvFiY2wD
74258200,1753341467,1753341467977,1753341468,1753341468101,0,1,0,1,4,1000,74258200,0,3,0.03,0.0,0.0,3386.95,3379.95,3382.95,0.0,XAUUSD,Robo XAUUSD,rvfY0osQzvFpi6R6D
74260506,1753343585,1753343585855,1753343585,1753343585981,0,0,0,1,4,1000,74258200,0,4,0.03,0.0,3382.95,0.0,0.0,3382.95,0.0,XAUUSD,[sl 3382.95],rXCa0oG7zvFpsQzvFi936D
74316756,1753363445,1753363445049,1753363445,1753363445155,0,0,0,1,4,1000,74316756,0,3,0.03,0.0,0.0,3360.67,3367.67,3364.67,0.0,XAUUSD,Robo XAUUSD,rhBE1olgDwFpijPJE
74320729,1753365174,1753365174356,1753365174,1753365174466,0,1,0,1,4,1000,74316756,0,4,0.03,0.0,3364.67,0.0,0.0,3364.67,0.0,XAUUSD,[sl 3364.67],rOAH1o1nEwFplgDwFicNKE
74339079,1753371437,1753371437486,1753371437,1753371437634,0,0,0,1,4,1000,74339079,0,3,0.03,0.0,0.0,3360.99,3367.99,3364.96,0.0,XAUUSD,Robo XAUUSD,rGLT1oqwJwFpiB4OE
74340236,1753371603,1753371603289,1753371603,1753371603397,0,1,0,1,4,1000,74339079,0,4,0.03,0.0,3360.99,0.0,0.0,3360.99,0.0,XAUUSD,[sl 3360.99],rv4T1o8DKwFpqwJwFiuKPE
74679984,1753467466,1753467466210,1753467466,1753467466320,0,0,0,1,4,1000,74679984,0,3,0.03,0.0,0.0,3331.77,3338.77,3335.71,0.0,XAUUSD,Robo XAUUSD,rYsA5oYawxFpiMItF
74682105,1753467963,1753467963532,1753467963,1753467963655,0,1,0,1,4,1000,74679984,0,4,0.03,0.0,3331.77,0.0,0.0,3331.77,0.0,XAUUSD,[sl 3331.77],rG-B5oxBxxFpYawxFijstF
74816314,1753678415,1753678415403,1753678415,1753678415525,0,1,0,1,4,1000,74816314,0,3,0.03,0.0,0.0,3337.68,3330.68,3333.69,0.0,XAUUSD,Robo XAUUSD,rvUjtojSWyFpihnT
74819432,1753679098,1753679098450,1753679098,1753679098580,0,0,0,0,4,0,74816314,0,1,0.03,0.0,0.0,0.0,0.0,3331.36,0.0,XAUUSD,,r0VltogKXyFpjSWyFi4XU
74840242,1753687453,1753687453810,1753687453,1753687453949,0,1,0,1,4,1000,74840242,0,3,0.03,0.0,0.0,3344.66,3337.66,3340.66,0.0,XAUUSD,Robo XAUUSD,rzU1toW9cyFpiqbZ
74843315,1753689626,1753689626537,1753689626,1753689626657,0,0,0,1,4,1000,74840242,0,4,0.03,0.0,3340.66,0.0,0.0,3340.66,0.0,XAUUSD,[sl 3340.66],r0H3tok0dyFpW9cyFi3Ma
74846120,1753691448,1753691448129,1753691448,1753691448283,0,0,0,1,4,1000,74846120,0,3,0.03,0.0,0.0,3335.73,3342.73,3339.77,0.0,XAUUSD,Robo XAUUSD,r014toUkeyFpim5a
74846503,1753691666,1753691666874,1753691667,1753691667000,0,1,0,1,4,1000,74846120,0,4,0.03,0.0,3339.73,0.0,0.0,3339.73,0.0,XAUUSD,[sl 3339.73],rSD5tovteyFpUkeyFiv_a
74846510,1753691671,1753691671062,1753691671,1753691671172,0,0,0,1,4,1000,74846510,0,3,0.03,0.0,0.0,3336.18,3343.18,3340.19,0.0,XAUUSD,Robo XAUUSD,rlD5to2teyFpi3_a
74848393,1753692640,1753692640893,1753692641,1753692641001,0,1,0,1,4,1000,74846510,0,5,0.03,0.0,3343.18,0.0,0.0,3343.18,0.0,XAUUSD,[tp 3343.18],rgL6toNNfyFp2teyFiscb
75139651,1753775017,1753775017107,1753775017,1753775017258,0,0,0,1,4,1000,75139651,0,3,0.03,0.0,0.0,3309.89,3316.89,3313.89,0.0,XAUUSD,Robo XAUUSD,rmLYxofH4zFpiaYmB
75142080,1753775873,1753775873674,1753775873,1753775873827,0,1,0,1,4,1000,75139651,0,5,0.03,0.0,3316.89,0.0,0.0,3316.89,0.0,XAUUSD,[tp 3316.89],rH3axoA04zFpfH4zFiQBnB
75150849,1753779933,1753779933888,1753779933,1753779933999,0,1,0,1,4,1000,75150849,0,3,0.03,0.0,0.0,3320.38,3313.38,3316.38,0.0,XAUUSD,Robo XAUUSD,rt4jxoJO7zFpiwKsB
75152383,1753780508,1753780508566,1753780508,1753780508707,0,0,0,1,4,1000,75150849,0,4,0.03,0.0,3320.38,0.0,0.0,3320.38,0.0,XAUUSD,[sl 3320.38],rl1kxovq7zFpJO7zFi-hsB
75156845,1753781714,1753781714448,1753781714,1753781714566,0,1,0,1,4,1000,75156845,0,3,0.03,0.0,0.0,3321.44,3314.44,3317.42,0.0,XAUUSD,Robo XAUUSD,rMTqxoF68zFpiSttB
75159754,1753782370,1753782370297,1753782370,1753782370412,0,0,0,1,4,1000,75156845,0,4,0.03,0.0,3321.44,0.0,0.0,3321.44,0.0,XAUUSD,[sl 3321.44],rfDtxoju9zFpF68zFiyXuB
75418698,1753855217,1753855217487,1753855217,1753855217598,0,1,0,1,4,1000,75418698,0,3,0.03,0.0,0.0,3332.93,3325.93,3328.89,0.0,XAUUSD,Robo XAUUSD,rn3U1oSnJ1FpiEMxC
75419259,1753855370,1753855370124,1753855370,1753855370276,0,0,0,1,4,1000,75418698,0,4,0.03,0.0,3328.93,0.0,0.0,3328.93,0.0,XAUUSD,[sl 3328.93],rVXV1oqzJ1FpSnJ1FimSxC
75435737,1753865382,1753865382691,1753865382,1753865382801,0,0,0,1,4,1000,75435737,0,3,0.03,0.0,0.0,3322.98,3329.98,3326.98,0.0,XAUUSD,Robo XAUUSD,rl9q1oRWO1Fpi6J1C
75449762,1753869928,1753869928659,1753869928,1753869928802,0,1,0,1,4,1000,75435737,0,5,0.03,0.0,3329.98,0.0,0.0,3329.98,0.0,XAUUSD,[tp 3329.98],rkG71oCQS1FpRWO1FiDy3C
75461750,1753872637,1753872637331,1753872637,1753872637440,0,1,0,1,4,1000,75461750,0,3,0.03,0.0,0.0,3333.18,3326.18,3329.18,0.0,XAUUSD,Robo XAUUSD,rv-C2o2kV1Fpi__5C
75463261,1753873268,1753873268235,1753873268,1753873268399,0,0,0,1,4,1000,75461750,0,4,0.03,0.0,3329.18,0.0,0.0,3329.18,0.0,XAUUSD,[sl 3329.18],ru6D2oBBW1Fp2kV1FikO6C
75468188,1753874593,1753874593878,1753874593,1753874593995,0,1,0,1,4,1000,75468188,0,3,0.03,0.0,0.0,3334.05,3327.05,3330.05,0.0,XAUUSD,Robo XAUUSD,r0gH2oIXX1FpiEG7C
75483553,1753879156,1753879156265,1753879156,1753879156387,0,0,0,1,4,0,75468188,0,0,0.03,0.0,0.0,0.0,0.0,3330.47,0.0,XAUUSD,,rquU2oNqb1FpIXX1Fi2w9C
75836753,1753968435,1753968435041,1753968435,1753968435160,0,0,0,1,4,1000,75836753,0,3,0.03,0.0,0.0,3301.61,3308.61,3305.59,0.0,XAUUSD,Robo XAUUSD,rqLc7o5xF3FpizfaE
75839127,1753969213,1753969213583,1753969213,1753969213723,0,1,0,1,4,1000,75836753,0,4,0.03,0.0,3301.61,0.0,0.0,3301.61,0.0,XAUUSD,[sl 3301.61],rXwd7obZG3Fp5xF3Fi0HbE
